Hygrophorus latitabundus
Hygrophorus leucophaeus
Hygrophorus ligatus
Hygrophorus lindtneri
Hygrophorus marzuolus
Hygrophorus poetarum
Hygrophorus russula
Hyla arborea
Hyla intermedia
Hylaeus clypearis
Hylaeus cornutus
Hylaeus difformis
Hylaeus punctulatissimus
Hyles euphorbiae
Hyles vespertilio
Hymenochaete cruenta
Hymenoscyphus albidus
Hyoscyamus niger
Hypericum pulchrum
Hypericum richeri
Hyphoderma roseocremeum
Hyphodermella corrugata
Hyphodontia abieticola
Hyphodontia spathulata
Hypnum bambergeri
Hypnum jutlandicum
Hypochaeris maculata
Hypogymnia vittata
Hyponephele lycaon
Hypoxylon howeanum
Hypsugo savii
Hyssopus officinalis
Inocybe inodora
Inocybe margaritispora
Inonotus dryadeus
Inonotus obliquus
Inula britannica
Inula hirta
Inula salicina
Iolana iolas
Iphiclides podalirius
Iris graminea
Iris sibirica
Isognomostoma isognomostomos
Isolepis setacea
Isopyrum thalictroides
Ixobrychus minutus
Jaminia quadridens
Jasione montana
Jordanita globulariae
Jordanita notata
Judolia sexmaculata
Juncus acutiflorus
Juncus arcticus
Juncus bulbosus
Juncus subnodulosus
Jynx torquilla
Kickxia elatine
Knautia godetii
Knautia purpurea
Kobresia simpliciuscula
Koeleria vallesiana
Laccaria tortilis
Lacerta agilis
Lacerta bilineata
Lachnum rhytismatis
Laciniaria plicata
Lactarius acerrimus
Lactarius azonites
Lactarius controversus
Lactarius glaucescens
Lactarius helvus
Lactarius repraesentaneus
Lactarius sanguifluus
Lactarius semisanguifluus
Lactarius serifluus
Lactuca viminea
Lactuca virosa
Lagopus muta
Lamia textor
Lamium hybridum
Lamprodila rutilans
Lanius senator
Lappula deflexa
Lappula squarrosa
Larus ridibundus
Laserpitium prutenicum
Lasiocampa trifolii
Lasioglossum brevicorne
Lasioglossum costulatum
Lasioglossum glabriusculum
Lasioglossum interruptum
Lasioglossum lativentre
Lasioglossum parvulum
Lasioglossum puncticolle
Lasioglossum sexstrigatum
Lasioglossum xanthopus
Lathyrus aphaca
Lathyrus hirsutus
Lathyrus niger
Lathyrus palustris
Lathyrus sphaericus
Lathyrus tuberosus
Lauria cylindracea
Lecanactis abietina
Lecanora albella
Lecanora conizaeoides
Lecanora intumescens
Lecanora leptyrodes
Lecanora sambuci
Leccinum holopus
Leccinum quercinum
Leccinum versipelle
Lecidea lurida
Leersia oryzoides
Leiopicus medius
Lemonia taraxaci
Leonurus cardiaca
Lepidium graminifolium
Lepiota alba
Lepiota fuscovinacea
Lepiota grangei
Leptogium saturninum
Leptophlebia marginata
Leptosporomyces mutabilis
Leptura aurulenta
Leptura quadrifasciata
Lepturobosca virens
Lepus europaeus
Lepus timidus
Lestes dryas
Leucodonta bicoloria
Leucorrhinia dubia
Leucorrhinia pectoralis
Leuctra aurita
Libelloides coccajus
Libelloides longicornis
Libythea celtis
Lilium bulbiferum bulbiferum
Lilium bulbiferum
Limenitis populi
Limenitis reducta
Limnephilus auricula
Limnephilus coenosus
Limodorum abortivum
Linaria angustissima
Linaria cannabina
Linaria repens
Linum austriacum
Linum tenuifolium
Liparis loeselii
Lissotriton helveticus
Lissotriton vulgaris
Listera cordata
Lithospermum officinale
Litschauerella clematidis
Lobaria pulmonaria
Locustella luscinioides
Locustella naevia
Lonicera etrusca
Lopinga achine
Lotus maritimus
Lotus tenuis
Lullula arborea
Luscinia megarhynchos
Luzula forsteri
Lycaena alciphron
Lycaena dispar
Lycaena helle
Lycaena virgaureae
Lycoperdon lividum
Lycoperdon mammiforme
Lycopodiella inundata
Lycopodium clavatum
Lynx lynx
Lyrurus tetrix
Lysimachia thyrsiflora
Lythrum hyssopifolia
Malacosoma castrensis
Malaxis monophyllos
Malus sylvestris
Marasmius scorodonius
Mareca strepera
Matteuccia struthiopteris
Medicago falcata
Megachile lagopoda
Megachile ligniseca
Megachile maritima
Megachile parietina
Megachile pilidens
Megachile rotundata
Melampyrum arvense
Melampyrum cristatum
Melampyrum nemorosum
Melitaea asteria
Melitaea aurelia
Melitaea cinxia
Melitaea deione
Melitaea diamina
Melitaea didyma
Melitaea parthenoides
Melitaea phoebe
Melitta nigricans
Melitta tricincta
Menegazzia terebrata
Mergus merganser
Merops apiaster
Mespilus germanica
Metrioptera bicolor
Metrioptera brachyptera
Meum athamanticum
Micromys minutus
Microtus multiplex
Minois dryas
Minuartia rostrata
Misopates orontium
Molopospermum peloponnesiacum
Monotropa hypophegea
Monticola solitarius
Morlina glabra
Motacilla flava
Mucronella calva
Muscardinus avellanarius
Muscari botryoides
Muschampia floccifera
Muschampia lavatherae
Mustela nivalis
Mustela putorius
Mycoacia aurea
Mylia anomala
Myosotis discolor
Myosotis ramosissima
Myosotis stricta
Myotis bechsteinii
Myotis blythii
Myotis brandtii
Myotis daubentonii
Myotis emarginatus
Myotis myotis
Myotis nattereri
Myricaria germanica
Myrmeleotettix maculatus
Narcissus pseudonarcissus
Narcissus radiiflorus
Natrix helvetica
